"param","mu_star","sigma","mu"
"dw_obs",0.76842059235231,1.27792907743572,0.622755067771194
"eta_obs",0.741687368707358,1.03343601730178,0.351846578539885
"alpha",0.604708167204857,0.682452539155991,0.318696579935741
"gamma",0.575939201644787,0.724139139007138,0.108128583889047
"beta",0.539893116404592,0.670620847297693,0.144927074324796
"w_win",0.505318792852551,0.837156399714003,-0.0863316439440704
"dw_bridge",0.447942287708625,0.749554336691451,0.258370687408309
"lambda",0.446455462518945,0.449193969907778,-0.392977655974031
"theta",0.248912775536798,0.340449542749095,0.0070019040351984
"w_loss",0.127173545495429,0.2093730029036,0.0495762565792784
"b",0.0347834948899996,0.0756873513228717,0.026638886736875
